row_id,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
85758,GO_FIRST,G8-7547,Bangalore,Morning,one,Evening,Delhi,Economy,6.58,11,7487
85759,GO_FIRST,G8-7548,Bangalore,Evening,one,Late_Night,Delhi,Economy,7.0,11,7487
85760,GO_FIRST,G8-2231,Bangalore,Afternoon,one,Night,Delhi,Economy,7.08,11,7487
85761,GO_FIRST,G8-312,Bangalore,Evening,one,Late_Night,Delhi,Economy,7.17,11,7487
85762,GO_FIRST,G8-873,Bangalore,Morning,one,Evening,Delhi,Economy,7.5,11,7487
85763,GO_FIRST,G8-395,Bangalore,Morning,one,Afternoon,Delhi,Economy,7.58,11,7487
85764,GO_FIRST,G8-241,Bangalore,Evening,one,Late_Night,Delhi,Economy,7.75,11,7487
85765,GO_FIRST,G8-395,Bangalore,Morning,one,Evening,Delhi,Economy,8.42,11,7487
85766,GO_FIRST,G8-7543,Bangalore,Afternoon,one,Night,Delhi,Economy,8.5,11,7487
85767,GO_FIRST,G8-7547,Bangalore,Morning,one,Evening,Delhi,Economy,8.58,11,7487
85768,GO_FIRST,G8-385,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,8.75,11,7487
85769,GO_FIRST,G8-385,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,8.83,11,7487
85770,GO_FIRST,G8-873,Bangalore,Morning,one,Evening,Delhi,Economy,9.33,11,7487
85771,GO_FIRST,G8-283,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,9.92,11,7487
85772,GO_FIRST,G8-7543,Bangalore,Afternoon,one,Night,Delhi,Economy,9.92,11,7487
85773,GO_FIRST,G8-385,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,10.0,11,7487
85774,GO_FIRST,G8-399,Bangalore,Night,one,Morning,Delhi,Economy,10.17,11,7487
85775,SpiceJet,SG-768,Bangalore,Afternoon,one,Night,Delhi,Economy,5.5,11,7488
85776,SpiceJet,SG-531,Bangalore,Morning,one,Evening,Delhi,Economy,9.42,11,7488
85777,SpiceJet,SG-4009,Bangalore,Early_Morning,one,Late_Night,Delhi,Economy,18.33,11,7488
85778,SpiceJet,SG-768,Bangalore,Afternoon,one,Morning,Delhi,Economy,19.58,11,7488
85779,SpiceJet,SG-531,Bangalore,Morning,one,Morning,Delhi,Economy,22.67,11,7488
85780,SpiceJet,SG-4009,Bangalore,Early_Morning,one,Morning,Delhi,Economy,25.92,11,7488
85781,SpiceJet,SG-4005,Bangalore,Afternoon,one,Evening,Delhi,Economy,26.5,11,7488
85782,SpiceJet,SG-209,Bangalore,Early_Morning,one,Evening,Delhi,Economy,12.83,11,7593
85783,SpiceJet,SG-3023,Bangalore,Morning,one,Evening,Delhi,Economy,10.17,11,7803
85784,GO_FIRST,G8-518,Bangalore,Night,one,Morning,Delhi,Economy,9.67,11,7994
85785,Vistara,UK-897,Bangalore,Early_Morning,one,Evening,Delhi,Economy,12.0,11,9904
85786,Vistara,UK-897,Bangalore,Early_Morning,one,Night,Delhi,Economy,14.92,11,9904
85787,Vistara,UK-893,Bangalore,Evening,one,Afternoon,Delhi,Economy,16.75,11,9904
85788,Vistara,UK-897,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,7.75,11,10009
85789,Vistara,UK-893,Bangalore,Evening,one,Morning,Delhi,Economy,13.08,11,10009
85790,Indigo,6E-6753,Bangalore,Morning,one,Evening,Delhi,Economy,6.33,11,9746
85791,Indigo,6E-484,Bangalore,Early_Morning,one,Morning,Delhi,Economy,4.75,11,9798
